SQLDATEE,Count,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
20161230,1067,0.337246586,7.975348615,1.061060464,7.814777142,-2.50997858
20161231,672,0.408643311,8.212063391,1.038814484,7.918703517,-1.712648786
20170101,384,0.453600481,8.086670316,1.058686756,7.726978062,-1.80916777
20170102,834,0.780418563,8.896844263,1.061300959,8.553843898,-1.883332923
20170103,920,0.830510664,8.059830687,1.028969038,7.88723061,-1.458273949
20170104,968,0.868286803,9.075601106,1.064772727,8.718469072,-1.4362417
20170105,999,0.825798793,8.229746106,1.031374231,7.970692822,-1.63634342
20170106,933,0.792952944,8.220189427,1.033849752,7.965452073,-1.711544698
20170107,603,0.67276172,8.531342446,1.029906025,8.33430383,-1.994611901
20170108,650,0.786706288,8.070269397,1.016818182,7.847946054,-1.535379368
20170109,957,0.656787695,8.244560087,1.053308952,7.960106354,-1.526723787
20170110,989,0.979359175,8.59319128,1.052638548,8.349381551,-1.374945496
20170111,1141,0.8214458,8.055323451,1.054587284,7.850615784,-1.605213337
20170112,1103,0.893777577,8.16657796,1.029389544,7.982813869,-1.447061397
20170113,928,0.986813103,8.551446363,1.043911638,8.374123566,-1.163354934
20170114,791,1.021713618,7.96800181,1.020859671,7.641485747,-1.018124517
20170115,657,0.513403653,8.258923075,1.03805175,7.894901801,-1.387379106
20170116,908,0.981045723,8.778625761,1.08314978,8.434512587,-1.560013218
20170117,1062,0.77804757,8.079690394,1.067922159,7.825588062,-1.716977915
20170118,1116,0.566583806,8.184164985,1.05062724,8.056019539,-1.610638943
20170119,1033,0.762979448,8.432240466,1.064122067,8.172779005,-1.456377715
20170120,951,0.81420188,8.31505846,1.030143708,8.100831884,-1.286019375
20170121,653,0.621833972,8.233549959,1.071939036,7.968309648,-1.110201998
20170122,630,0.947644622,8.24339913,1.018253968,7.960703334,-1.316305113
20170123,928,1.251942643,8.9410544,1.064673132,8.579663241,-0.965110795
20170124,993,0.852093336,8.937217985,1.088020908,8.709603399,-1.429012649
20170125,1177,0.488855291,8.369914393,1.067554719,8.062084874,-1.810713914
20170126,1062,0.549687331,7.912260798,1.044758318,7.719412623,-1.563285016
20170127,1081,0.625760549,8.178938473,1.057464429,7.889478391,-1.62230014
20170128,711,0.37158542,8.138366204,1.028246601,7.825797834,-1.449527245
20170129,653,0.438046483,7.824418456,1.0158244,7.706238627,-1.482108623
20170130,1017,0.221860633,8.469405645,1.032563094,8.199720612,-2.124718427
20170131,1119,0.428406329,8.579330205,1.079437423,8.381469958,-1.897167318
20170201,1081,0.673508282,8.177278469,1.039536437,7.928412046,-1.464409005
20170202,1051,0.610818286,8.016915389,1.030859499,7.695116044,-1.646291746
20170203,933,0.624767663,8.42416112,1.045582606,8.177268522,-1.401412743
20170204,727,0.706344415,8.588354602,1.031636864,8.326285492,-1.677425583
20170205,683,0.6927468,8.305655258,1.025134212,8.091305246,-1.493950894
20170206,1060,0.393752544,8.566631606,1.080440252,8.301845241,-1.650848343
20170207,1347,0.904586684,8.132233419,1.055703016,7.861746375,-1.308811782
20170208,1231,0.626680532,8.138417143,1.051158563,7.977202504,-1.550729827
20170209,1191,0.974441448,8.432540059,1.067058494,8.134013411,-1.573758722
20170210,1164,0.622176598,8.759324005,1.077713345,8.510238525,-1.786235771
20170211,844,0.745307407,8.966699581,1.068424171,8.676416835,-1.265165912
20170212,817,0.726069358,8.054918387,1.027452352,7.805976529,-1.070788009
20170213,1106,0.768065273,8.062479064,1.030289331,7.796398038,-1.147915852
20170214,1155,0.694125061,8.848635564,1.085555556,8.530684688,-1.310244551
